id,name
620,Leimbachweg
621,Paul-Reifenberg-Str.
622,Kalkweg
623,Wildpark
624,An der Walkmühle
625,Steinstr. S-Bahn
626,Mutzbach
627,Am Weißen Mönch
628,Bornheim Rathaus
629,Goldregenweg
63,Bernkasteler Str.
630,Aeltgen-Dünwald-Str.
631,Keupstr.
632,Von-Sparr-Str.
633,Mülheim Berliner Str.
634,Dünnwalder Str.
635,Von-Lohe-Str.
636,Am Faulbach
637,Neuer Mülheimer Friedhof
638,Bruder-Klaus-Siedlung
639,Von-Galen-Str.
64,Rheinsteinstr.
640,Moses-Hess-Str.
641,Stammheimer Ring
642,Bonhoefferstr.
643,Sparkasse
644,Friedhof Stammheim
645,Egonstr.
646,Barbarastr.
647,Flittard Süd
648,Flittarder Feld
649,Am Feldrain
65,Schönhauser Str.
650,Edelhofstr.
651,Welserstr.
652,Nibelungenstr.
653,Ebertplatz/Riehler Str.
654,Wiedstr.
655,Im Hoppenkamp
656,Sportplatzstr.
657,Frankfurter Str. S-Bahn
6578,Ranzel Schulstr.
658,Marienplatz
659,Vitalisstr. Nord
66,Marktstr.
661,Gunther-Plüschow-Str.
662,Eddaweg
663,Schlebusch
665,Bensberg
666,Kölner Str.
667,Neuenweg
668,Lustheide
669,Refrath
67,Koblenzer Str.
670,Kippekausen
671,Frankenforst
672,Roisdorf West
673,Bornheim
674,Dersdorf
675,Waldorf
676,Merten
677,Walberberg
678,Hersel
679,Uedorf
68,Tacitusstr.
680,Widdig
681,Alfter / Alanus Hochschule
682,Friedhof Lehmbacher Weg
683,Museum Koenig
684,Bundesrechnungshof
685,Juridicum
686,Universitaet/Markt
687,Bonn Hauptbahnhof
688,Bonn West
689,Brühler Straße
69,Mannsfeld
690,Olof-Palme-Allee
691,Ollenhauerstraße
692,Heussallee/Museumsmeile
693,Tannenbusch Süd
694,Tannenbusch Mitte
695,Buschdorf
696,Robert-Kirchhoff-Straße
697,Dransdorf
698,Max-Löbner-Str./Friesdorf
699,Hochkreuz
7,Appellhofplatz
70,Cäsarstr.
700,Wurzerstraße
701,Plittersdorfer Straße
702,Weiden West S-Bahn
703,Porz-Langel Süd
704,Sinnersdorf Kirche
705,Am Zehnthof
7054,Wingertsheide
706,Kesselsgasse
707,Hücheln Krankenhaus
708,Frechen-Benzelrath
709,Mühlengasse
71,Leichweg
710,Frechen Rathaus
711,Frechen Kirche
712,Frechen Bf
713,Haus Vorst
714,Im Klarenpesch
715,Dr.-Schultz-Str.
716,Kapfenberger Str.
717,Freiheitsring
718,Hüchelner Str.
719,Schokoladenmuseum
72,Liblarer Str.
720,Elisabethstr.
721,Rotdornweg
722,Gut Neuenhof
723,Grachtenhofstr.
724,Mauritiusschule
725,Lahnstr.
726,Lindenbuschweg
727,Wilhelm-Leuschner-Str.
728,Carl-Goerdeler-Str.
729,Imbuschstr.
73,Heeresamt
730,Efferen
731,Fischenich
732,Kiebitzweg
733,Hürth-Hermülheim
734,Brühl Nord
735,Brühl Mitte
736,Brühl Süd
737,Badorf
738,Brühl-Vochem
739,Schwadorf
7394,St. Vincenz Haus
74,Brühler Str./Gürtel
740,Wesseling Süd
741,Wesseling
742,Wesseling Nord
743,Urfeld
744,Rheinauhafen
745,Luftfracht Köln/Bonn
746,Johannesstr.
747,Mozartstr.
748,Kapellenweg
749,Friedhof Worringen
75,Wasserwerk
750,Nippes S-Bahn
751,Ramrather Weg
752,Kierberger Str.
753,Metternicherstr.
754,Auf der Freiheit
755,Albrecht-Dürer-Platz
756,Innere Kanalstr.
757,Zündorf Marktstr.
758,Zündorf Kirche
759,Zündorf Altersheim
76,Bayenthalgürtel
760,Zündorf Mitte
761,Zündorf Olefsgasse
7610,Rathenaustr.
762,Zündorf Ranzeler Str.
763,Oberzündorf
764,Porz-Langel Nord
765,Porz-Langel Mühle
766,Porz-Langel Zur Eiche
767,Porz-Langel Kirche
768,Schadowstr.
769,Methweg
7699,Siegburg Friedrich-Ebert-Str.
77,Ranzel Schule
770,Schirmerstr.
771,Mechternstr.
772,Pettenkoferstr.
7726,Mondorf Rosenthalstr.
773,Mülhauser Str.
774,Escher See
775,Am Braunsacker
777,Reiherstr.
778,Stolberger Str.
779,Buchforst S-Bahn
78,Goltsteinstr./Gürtel
780,Rodenkirchen Bismarckstr.
781,Gewerbegebiet Pesch Nord
783,Bonntor
784,Beuelsweg Nord
785,Friedenspark
786,Indianapolis-Straße
787,Am Schildchen
788,August-Horch-Str.
789,Trifelsstr.
79,Marienburger Str.
790,Hansestr. West
791,Weiden Einkaufszentrum
792,Cheruskerstr.
793,Im Wichemshof
794,Dünnwald Waldbad
795,Im Wirtskamp
798,Reischplatz
799,TÜV-Akademie
8,Dom/Hbf
80,Marienburg Südpark
800,Mülheimer Ring
801,Imbacher Weg
802,Hahnwald Im Hasengarten
803,Birkenweg Schleife
804,Zur Abtei
805,Talweg
806,Thermalbad
807,Zum Neuen Kreuz
808,Rosmarinweg
809,Palmenhof
81,Bonner Str./Gürtel
810,Arenzhof
811,Weilerweg
812,Arthur-Hantzsch-Str.
813,Stammheim S-Bahn
814,Chempark S-Bahn
815,Osterather Str.
816,Trimbornstr.
817,Leopold-Gmelin-Str.
818,Nesselrodestr.
819,Sprengelstr.
